p_id,p_id2,value
3m5g,3uyx,2.38
3m5h,3uyx,2.19
3m5i,3uyx,2.24
3m5j,3uyx,2.2
3m6s,3uyx,1.3
3mlh,3uyx,1.24
3qqb,3uyx,1.71
3qqe,3uyx,1.71
3qqi,3uyx,1.6
3qqo,3uyx,1.66
3r2x,3uyx,1.43
3s11,3uyx,1.33
3s12,3uyx,0.75
3s13,3uyx,1.22
3sdy,3uyx,1.93
3sm5,3uyx,0.85
3ube,3uyx,0.96
3ubj,3uyx,0.86
3ubn,3uyx,0.93
3ubq,3uyx,0.87
3uyw,3uyx,0.52
1eo8,3vun,0.43
1ha0,3vun,0.49
1hgd,3vun,0.36
1hge,3vun,0.36
1hgf,3vun,0.36
1hgg,3vun,0.39
1hgh,3vun,0.37
1hgi,3vun,0.37
1hgj,3vun,0.36
1jsd,3vun,1.61
1jsh,3vun,1.62
1jsi,3vun,1.63
1jsm,3vun,1.54
1jsn,3vun,1.58
1jso,3vun,1.55
1ken,3vun,0.54
1mql,3vun,0.48
1mqm,3vun,0.49
1mqn,3vun,0.49
1qfu,3vun,0.43
1rd8,3vun,1.89
1ru7,3vun,1.66
1rvt,3vun,1.75
1rvx,3vun,1.67
1rvz,3vun,1.66
1ti8,3vun,1.68
2fk0,3vun,1.77
2hmg,3vun,0.36
2ibx,3vun,1.53
2rft,3vun,2.67
2rfu,3vun,2.66
2viu,3vun,0.4
2wr0,3vun,1.79
2wr1,3vun,1.8
2wr2,3vun,1.81
2wr3,3vun,2.2
2wr4,3vun,2.22
2wr5,3vun,2.26
2wr7,3vun,2.23
2wrb,3vun,1.81
2wrc,3vun,1.79
2wrd,3vun,1.77
2wre,3vun,2.23
2wrf,3vun,1.85
2wrg,3vun,1.86
2wrh,3vun,1.84
2yp2,3vun,0.58
2yp3,3vun,0.58
2yp4,3vun,0.55
2yp5,3vun,0.53
2yp7,3vun,0.59
2yp8,3vun,0.58
2yp9,3vun,0.58
2ypg,3vun,0.36
3al4,3vun,1.79
3bt6,3vun,2.66
3eyj,3vun,0.83
3eyk,3vun,0.88
3eym,3vun,0.39
3fku,3vun,1.57
3gbm,3vun,1.56
3gbn,3vun,1.77
3hmg,3vun,0.39
3hto,3vun,1.74
3htp,3vun,1.76
3htq,3vun,1.75
3htt,3vun,1.76
3ku3,3vun,2.17
3ku5,3vun,2.18
3ku6,3vun,2.19
3lzf,3vun,1.71
3lzg,3vun,1.97
3m5g,3vun,1.67
3m5h,3vun,1.65
3m5i,3vun,1.68
3m5j,3vun,1.7
3m6s,3vun,1.82
3mlh,3vun,2.08
3qqb,3vun,2.18
3qqe,3vun,2.15
3qqi,3vun,2.21
3qqo,3vun,2.48
3r2x,3vun,1.76
3s11,3vun,1.59
3s12,3vun,0.76
3s13,3vun,1.59
3sdy,3vun,0.43
3sm5,3vun,1.85
3ube,3vun,1.9
3ubj,3vun,1.86
3ubn,3vun,1.89
3ubq,3vun,1.85
3uyw,3vun,1.82
3uyx,3vun,1.94
1eo8,3znk,1.54
1ha0,3znk,1.56
1hgd,3znk,1.53
1hge,3znk,1.53
1hgf,3znk,1.54
1hgg,3znk,1.54
1hgh,3znk,1.53
1hgi,3znk,1.53
1hgj,3znk,1.53
1jsd,3znk,1.29
1jsh,3znk,1.29
1jsi,3znk,1.29
1jsm,3znk,0.58
1jsn,3znk,0.56
1jso,3znk,0.57
1ken,3znk,1.58
1mql,3znk,1.52
1mqm,3znk,1.52
1mqn,3znk,1.52
1qfu,3znk,1.51
1rd8,3znk,1.47
1ru7,3znk,1.02
1rvt,3znk,1.06
1rvx,3znk,1.02
1rvz,3znk,1.01
1ti8,3znk,1.6
2fk0,3znk,1.17
2hmg,3znk,1.54
2ibx,3znk,0.51
2rft,3znk,2.86
2rfu,3znk,2.85
2viu,3znk,1.54
2wr0,3znk,1.32
2wr1,3znk,1.35
2wr2,3znk,1.35
2wr3,3znk,1.42
2wr4,3znk,1.43
2wr5,3znk,1.42
2wr7,3znk,1.45
2wrb,3znk,1.29
2wrc,3znk,1.25
2wrd,3znk,1.27
2wre,3znk,1.53
2wrf,3znk,1.34
2wrg,3znk,1.39
2wrh,3znk,1.36
2yp2,3znk,1.58
2yp3,3znk,1.58
2yp4,3znk,1.57
2yp5,3znk,1.56
2yp7,3znk,1.59
2yp8,3znk,1.58
2yp9,3znk,1.57
2ypg,3znk,1.53
3al4,3znk,1.35
3bt6,3znk,2.94
3eyj,3znk,1.91
3eyk,3znk,1.95
3eym,3znk,1.53
3fku,3znk,0.47
3gbm,3znk,0.34
3gbn,3znk,1.13
3hmg,3znk,1.55
3hto,3znk,1.24
3htp,3znk,1.25
3htq,3znk,1.23
3htt,3znk,1.24
3ku3,3znk,0.44
3ku5,3znk,0.45
3ku6,3znk,0.44
3lzf,3znk,1.05
3lzg,3znk,1.36
3m5g,3znk,1.6
3m5h,3znk,1.57
3m5i,3znk,1.61
3m5j,3znk,1.57
3m6s,3znk,1.39
3mlh,3znk,1.7
3qqb,3znk,0.43
3qqe,3znk,0.43
3qqi,3znk,0.61
3qqo,3znk,1.56
3r2x,3znk,1.03
3s11,3znk,0.39
3s12,3znk,0.75
3s13,3znk,0.38
3sdy,3znk,1.54
3sm5,3znk,1.18
3ube,3znk,1.25
3ubj,3znk,1.26
3ubn,3znk,1.24
3ubq,3znk,1.27
3uyw,3znk,1.22
3uyx,3znk,1.28
3vun,3znk,1.56
1eo8,3znl,1.53
1ha0,3znl,1.55
1hgd,3znl,1.52
1hge,3znl,1.52
1hgf,3znl,1.53
1hgg,3znl,1.53
1hgh,3znl,1.53
1hgi,3znl,1.52
1hgj,3znl,1.52
1jsd,3znl,1.29
1jsh,3znl,1.29
1jsi,3znl,1.29
1jsm,3znl,0.58
1jsn,3znl,0.56
1jso,3znl,0.57
1ken,3znl,1.57
1mql,3znl,1.51
1mqm,3znl,1.51
1mqn,3znl,1.51
1qfu,3znl,1.5
1rd8,3znl,1.47
1ru7,3znl,1.01
1rvt,3znl,1.06
1rvx,3znl,1.01
1rvz,3znl,1.01
1ti8,3znl,1.6
2fk0,3znl,1.18
2hmg,3znl,1.53
2ibx,3znl,0.51
2rft,3znl,2.86
2rfu,3znl,2.85
2viu,3znl,1.53
2wr0,3znl,1.32
2wr1,3znl,1.35
2wr2,3znl,1.35
2wr3,3znl,1.43
2wr4,3znl,1.43
2wr5,3znl,1.42
2wr7,3znl,1.45
2wrb,3znl,1.29
2wrc,3znl,1.26
2wrd,3znl,1.27
2wre,3znl,1.54
2wrf,3znl,1.34
2wrg,3znl,1.39
2wrh,3znl,1.36
2yp2,3znl,1.57
2yp3,3znl,1.57
2yp4,3znl,1.56
2yp5,3znl,1.55
2yp7,3znl,1.57
2yp8,3znl,1.57
2yp9,3znl,1.56
2ypg,3znl,1.52
3al4,3znl,1.35
3bt6,3znl,2.86
3eyj,3znl,1.9
3eyk,3znl,1.94
3eym,3znl,1.52
3fku,3znl,0.47
3gbm,3znl,0.34
3gbn,3znl,1.12
3hmg,3znl,1.54
3hto,3znl,1.24
3htp,3znl,1.25
3htq,3znl,1.23
3htt,3znl,1.24
3ku3,3znl,0.44
3ku5,3znl,0.45
3ku6,3znl,0.44
3lzf,3znl,1.05
3lzg,3znl,1.35
3m5g,3znl,1.6
3m5h,3znl,1.57
3m5i,3znl,1.6
3m5j,3znl,1.57
3m6s,3znl,1.39
3mlh,3znl,1.7
3qqb,3znl,0.44
3qqe,3znl,0.43
3qqi,3znl,0.61
3qqo,3znl,1.56
3r2x,3znl,1.03
3s11,3znl,0.4
3s12,3znl,0.52
3s13,3znl,0.38
3sdy,3znl,1.53
3sm5,3znl,1.18
3ube,3znl,1.25
3ubj,3znl,1.26
3ubn,3znl,1.24
3ubq,3znl,1.26
3uyw,3znl,1.23
3uyx,3znl,1.28
3vun,3znl,1.55
3znk,3znl,0.11
1eo8,3znm,1.52
1ha0,3znm,1.55
1hgd,3znm,1.52
1hge,3znm,1.51
1hgf,3znm,1.53
1hgg,3znm,1.53
1hgh,3znm,1.52
1hgi,3znm,1.52
1hgj,3znm,1.52
1jsd,3znm,1.27
1jsh,3znm,1.27
1jsi,3znm,1.27
1jsm,3znm,0.57
1jsn,3znm,0.55
1jso,3znm,0.56
1ken,3znm,1.56
1mql,3znm,1.51
1mqm,3znm,1.5
1mqn,3znm,1.5
1qfu,3znm,1.5
1rd8,3znm,1.46
1ru7,3znm,1.0
1rvt,3znm,1.05
1rvx,3znm,1.0
1rvz,3znm,1.0
1ti8,3znm,1.58
2fk0,3znm,1.17
2hmg,3znm,1.53
2ibx,3znm,0.5
2rft,3znm,2.85
2rfu,3znm,2.84
2viu,3znm,1.52
2wr0,3znm,1.31
2wr1,3znm,1.34
2wr2,3znm,1.34
2wr3,3znm,1.43
2wr4,3znm,1.43
2wr5,3znm,1.43
2wr7,3znm,1.45
2wrb,3znm,1.29
2wrc,3znm,1.25
2wrd,3znm,1.27
2wre,3znm,1.54
2wrf,3znm,1.34
2wrg,3znm,1.38
2wrh,3znm,1.35
2yp2,3znm,1.56
2yp3,3znm,1.56
2yp4,3znm,1.55
2yp5,3znm,1.55
2yp7,3znm,1.57
2yp8,3znm,1.57
2yp9,3znm,1.56
2ypg,3znm,1.52
3al4,3znm,1.33
3bt6,3znm,2.85
3eyj,3znm,1.89
3eyk,3znm,1.93
3eym,3znm,1.52
3fku,3znm,0.48
3gbm,3znm,0.34
3gbn,3znm,1.12
3hmg,3znm,1.53
3hto,3znm,1.22
3htp,3znm,1.24
3htq,3znm,1.21
3htt,3znm,1.23
3ku3,3znm,0.44
3ku5,3znm,0.45
3ku6,3znm,0.44
3lzf,3znm,1.04
3lzg,3znm,1.34
3m5g,3znm,1.59
3m5h,3znm,1.56
3m5i,3znm,1.6
3m5j,3znm,1.56
3m6s,3znm,1.38
3mlh,3znm,1.69
3qqb,3znm,0.44
3qqe,3znm,0.43
3qqi,3znm,0.61
3qqo,3znm,1.56
3r2x,3znm,1.03
3s11,3znm,0.39
3s12,3znm,0.68
3s13,3znm,0.36
3sdy,3znm,1.53
3sm5,3znm,1.17
3ube,3znm,1.24
3ubj,3znm,1.24
3ubn,3znm,1.23
3ubq,3znm,1.24
3uyw,3znm,1.22
3uyx,3znm,1.27
3vun,3znm,1.55
3znk,3znm,0.15
3znl,3znm,0.1
1eo8,3zp0,1.53
1ha0,3zp0,1.54
1hgd,3zp0,1.51
1hge,3zp0,1.51
1hgf,3zp0,1.52
1hgg,3zp0,1.53
1hgh,3zp0,1.52
1hgi,3zp0,1.52
1hgj,3zp0,1.51
1jsd,3zp0,1.26
1jsh,3zp0,1.27
1jsi,3zp0,1.27
1jsm,3zp0,0.51
1jsn,3zp0,0.5
1jso,3zp0,0.5
1ken,3zp0,1.56
1mql,3zp0,1.5
1mqm,3zp0,1.5
1mqn,3zp0,1.5
1qfu,3zp0,1.49
1rd8,3zp0,1.31
1ru7,3zp0,0.97
1rvt,3zp0,1.02
1rvx,3zp0,0.97
1rvz,3zp0,0.97
1ti8,3zp0,1.57
2fk0,3zp0,1.13
2hmg,3zp0,1.52
2ibx,3zp0,0.44
2rft,3zp0,2.83
2rfu,3zp0,2.82
2viu,3zp0,1.52
2wr0,3zp0,1.28
2wr1,3zp0,1.3
2wr2,3zp0,1.3
2wr3,3zp0,1.37
2wr4,3zp0,1.38
2wr5,3zp0,1.37
2wr7,3zp0,1.39
2wrb,3zp0,1.24
2wrc,3zp0,1.21
2wrd,3zp0,1.23
2wre,3zp0,1.47
2wrf,3zp0,1.3
2wrg,3zp0,1.33
2wrh,3zp0,1.3
2yp2,3zp0,1.55
2yp3,3zp0,1.56
2yp4,3zp0,1.55
2yp5,3zp0,1.54
2yp7,3zp0,1.56
2yp8,3zp0,1.56
2yp9,3zp0,1.55
2ypg,3zp0,1.52
3al4,3zp0,1.29
3bt6,3zp0,2.82
3eyj,3zp0,1.89
3eyk,3zp0,1.92
3eym,3zp0,1.52
3fku,3zp0,0.46
3gbm,3zp0,0.32
3gbn,3zp0,1.08
3hmg,3zp0,1.53
3hto,3zp0,1.18
3htp,3zp0,1.2
3htq,3zp0,1.18
3htt,3zp0,1.19
3ku3,3zp0,0.42
3ku5,3zp0,0.42
3ku6,3zp0,0.41
3lzf,3zp0,1.0
3lzg,3zp0,1.29
3m5g,3zp0,1.58
3m5h,3zp0,1.55
3m5i,3zp0,1.59
3m5j,3zp0,1.55
3m6s,3zp0,1.34
3mlh,3zp0,1.67
3qqb,3zp0,0.41
3qqe,3zp0,0.41
3qqi,3zp0,0.57
3qqo,3zp0,1.47
3r2x,3zp0,1.0
3s11,3zp0,0.36
3s12,3zp0,0.43
3s13,3zp0,0.34
3sdy,3zp0,1.52
3sm5,3zp0,1.14
3ube,3zp0,1.2
3ubj,3zp0,1.21
3ubn,3zp0,1.19
3ubq,3zp0,1.21
3uyw,3zp0,1.19
3uyx,3zp0,1.25
3vun,3zp0,1.56
3znk,3zp0,0.3
3znl,3zp0,0.3
3znm,3zp0,0.29
1eo8,3zp1,1.52
1ha0,3zp1,1.54
1hgd,3zp1,1.51
1hge,3zp1,1.51
1hgf,3zp1,1.52
1hgg,3zp1,1.53
1hgh,3zp1,1.52
1hgi,3zp1,1.52
1hgj,3zp1,1.52
1jsd,3zp1,1.25
1jsh,3zp1,1.26
1jsi,3zp1,1.26
1jsm,3zp1,0.55
1jsn,3zp1,0.55
1jso,3zp1,0.54
1ken,3zp1,1.57
1mql,3zp1,1.51
1mqm,3zp1,1.5
1mqn,3zp1,1.5
1qfu,3zp1,1.49
1rd8,3zp1,1.33
1ru7,3zp1,0.98
1rvt,3zp1,1.01
1rvx,3zp1,0.98
1rvz,3zp1,0.98
1ti8,3zp1,1.57
2fk0,3zp1,1.16
2hmg,3zp1,1.53
2ibx,3zp1,0.47
2rft,3zp1,2.83
2rfu,3zp1,2.83
2viu,3zp1,1.52
2wr0,3zp1,1.31
2wr1,3zp1,1.31
2wr2,3zp1,1.31
2wr3,3zp1,1.37
2wr4,3zp1,1.37
2wr5,3zp1,1.36
2wr7,3zp1,1.38
2wrb,3zp1,1.25
2wrc,3zp1,1.23
2wrd,3zp1,1.25
2wre,3zp1,1.47
2wrf,3zp1,1.33
2wrg,3zp1,1.35
2wrh,3zp1,1.33
2yp2,3zp1,1.54
2yp3,3zp1,1.55
2yp4,3zp1,1.54
2yp5,3zp1,1.53
2yp7,3zp1,1.55
2yp8,3zp1,1.55
2yp9,3zp1,1.54
2ypg,3zp1,1.51
3al4,3zp1,1.31
3bt6,3zp1,2.95
3eyj,3zp1,1.88
3eyk,3zp1,1.91
3eym,3zp1,1.52
3fku,3zp1,0.45
3gbm,3zp1,0.33
3gbn,3zp1,1.07
3hmg,3zp1,1.53
3hto,3zp1,1.21
3htp,3zp1,1.23
3htq,3zp1,1.21
3htt,3zp1,1.23
3ku3,3zp1,0.39
3ku5,3zp1,0.4
3ku6,3zp1,0.39
3lzf,3zp1,1.0
3lzg,3zp1,1.29
3m5g,3zp1,1.58
3m5h,3zp1,1.55
3m5i,3zp1,1.59
3m5j,3zp1,1.55
3m6s,3zp1,1.36
3mlh,3zp1,1.66
3qqb,3zp1,0.39
3qqe,3zp1,0.39
3qqi,3zp1,0.56
3qqo,3zp1,1.47
3r2x,3zp1,1.0
3s11,3zp1,0.39
3s12,3zp1,0.44
3s13,3zp1,0.36
3sdy,3zp1,1.52
3sm5,3zp1,1.15
3ube,3zp1,1.21
3ubj,3zp1,1.22
3ubn,3zp1,1.2
3ubq,3zp1,1.22
3uyw,3zp1,1.2
3uyx,3zp1,1.24
3vun,3zp1,1.55
3znk,3zp1,0.35
3znl,3zp1,0.35
3znm,3zp1,0.33
3zp0,3zp1,0.25
1eo8,3zp2,1.54
1ha0,3zp2,1.57
1hgd,3zp2,1.53
1hge,3zp2,1.53
1hgf,3zp2,1.54
1hgg,3zp2,1.55
1hgh,3zp2,1.54
1hgi,3zp2,1.53
1hgj,3zp2,1.53
1jsd,3zp2,1.26
1jsh,3zp2,1.26
1jsi,3zp2,1.26
1jsm,3zp2,0.57
1jsn,3zp2,0.6
1jso,3zp2,0.57
1ken,3zp2,1.58
1mql,3zp2,1.53
1mqm,3zp2,1.53
1mqn,3zp2,1.53
1qfu,3zp2,1.52
1rd8,3zp2,1.41
1ru7,3zp2,0.98
1rvt,3zp2,1.03
1rvx,3zp2,0.99
1rvz,3zp2,0.98
1ti8,3zp2,1.58
2fk0,3zp2,1.14
2hmg,3zp2,1.54
2ibx,3zp2,0.47
2rft,3zp2,2.79
2rfu,3zp2,2.8
2viu,3zp2,1.54
2wr0,3zp2,1.29
2wr1,3zp2,1.29
2wr2,3zp2,1.29
2wr3,3zp2,1.34
2wr4,3zp2,1.35
2wr5,3zp2,1.34
2wr7,3zp2,1.36
2wrb,3zp2,1.22
2wrc,3zp2,1.19
2wrd,3zp2,1.21
2wre,3zp2,1.43
2wrf,3zp2,1.31
2wrg,3zp2,1.33
2wrh,3zp2,1.31
2yp2,3zp2,1.56
2yp3,3zp2,1.57
2yp4,3zp2,1.56
2yp5,3zp2,1.55
2yp7,3zp2,1.56
2yp8,3zp2,1.57
2yp9,3zp2,1.55
2ypg,3zp2,1.53
3al4,3zp2,1.29
3bt6,3zp2,2.88
3eyj,3zp2,1.9
3eyk,3zp2,1.93
3eym,3zp2,1.53
3fku,3zp2,0.47
3gbm,3zp2,0.37
3gbn,3zp2,1.08
3hmg,3zp2,1.55
3hto,3zp2,1.2
3htp,3zp2,1.22
3htq,3zp2,1.19
3htt,3zp2,1.21
3ku3,3zp2,0.41
3ku5,3zp2,0.41
3ku6,3zp2,0.4
3lzf,3zp2,1.01
3lzg,3zp2,1.29
3m5g,3zp2,1.57
3m5h,3zp2,1.55
3m5i,3zp2,1.58
3m5j,3zp2,1.55
3m6s,3zp2,1.34
3mlh,3zp2,1.65
3qqb,3zp2,0.4
3qqe,3zp2,0.39
3qqi,3zp2,0.52
3qqo,3zp2,1.45
3r2x,3zp2,1.0
3s11,3zp2,0.4
3s12,3zp2,0.42
3s13,3zp2,0.41
3sdy,3zp2,1.53
3sm5,3zp2,1.25
3ube,3zp2,1.2
3ubj,3zp2,1.22
3ubn,3zp2,1.19
3ubq,3zp2,1.22
3uyw,3zp2,1.19
3uyx,3zp2,1.25
3vun,3zp2,1.56
3znk,3zp2,0.37
3znl,3zp2,0.38
3znm,3zp2,0.38
3zp0,3zp2,0.32
3zp1,3zp2,0.29
1eo8,3zp3,1.53
1ha0,3zp3,1.56
1hgd,3zp3,1.52
1hge,3zp3,1.52
1hgf,3zp3,1.53
1hgg,3zp3,1.53
1hgh,3zp3,1.52
1hgi,3zp3,1.52
1hgj,3zp3,1.52
1jsd,3zp3,1.25
1jsh,3zp3,1.25
1jsi,3zp3,1.25
1jsm,3zp3,0.55
1jsn,3zp3,0.59
1jso,3zp3,0.54
1ken,3zp3,1.57
1mql,3zp3,1.52
1mqm,3zp3,1.51
1mqn,3zp3,1.51
1qfu,3zp3,1.5
1rd8,3zp3,1.42
1ru7,3zp3,0.97
1rvt,3zp3,1.02
1rvx,3zp3,0.97
1rvz,3zp3,0.97
1ti8,3zp3,1.56
2fk0,3zp3,1.14
2hmg,3zp3,1.53
2ibx,3zp3,0.45
2rft,3zp3,2.78
2rfu,3zp3,2.79
2viu,3zp3,1.53
2wr0,3zp3,1.3
2wr1,3zp3,1.29
2wr2,3zp3,1.3
2wr3,3zp3,1.35
2wr4,3zp3,1.37
2wr5,3zp3,1.36
2wr7,3zp3,1.38
2wrb,3zp3,1.23
2wrc,3zp3,1.21
2wrd,3zp3,1.22
2wre,3zp3,1.45
2wrf,3zp3,1.33
2wrg,3zp3,1.33
2wrh,3zp3,1.31
2yp2,3zp3,1.54
2yp3,3zp3,1.55
2yp4,3zp3,1.54
2yp5,3zp3,1.53
2yp7,3zp3,1.55
2yp8,3zp3,1.55
2yp9,3zp3,1.54
2ypg,3zp3,1.52
3al4,3zp3,1.3
3bt6,3zp3,2.79
3eyj,3zp3,1.88
3eyk,3zp3,1.91
3eym,3zp3,1.52
3fku,3zp3,0.46
3gbm,3zp3,0.36
3gbn,3zp3,1.06
3hmg,3zp3,1.54
3hto,3zp3,1.18
3htp,3zp3,1.22
3htq,3zp3,1.18
3htt,3zp3,1.21
3ku3,3zp3,0.38
3ku5,3zp3,0.38
3ku6,3zp3,0.37
3lzf,3zp3,1.0
3lzg,3zp3,1.28
3m5g,3zp3,1.55
3m5h,3zp3,1.53
3m5i,3zp3,1.56
3m5j,3zp3,1.53
3m6s,3zp3,1.34
3mlh,3zp3,1.66
3qqb,3zp3,0.37
3qqe,3zp3,0.36
3qqi,3zp3,0.52
3qqo,3zp3,1.46
3r2x,3zp3,0.99
3s11,3zp3,0.41
3s12,3zp3,0.43
3s13,3zp3,0.41
3sdy,3zp3,1.52
3sm5,3zp3,1.15
3ube,3zp3,1.19
3ubj,3zp3,1.21
3ubn,3zp3,1.18
3ubq,3zp3,1.22
3uyw,3zp3,1.18
3uyx,3zp3,1.25
3vun,3zp3,1.55
3znk,3zp3,0.38
3znl,3zp3,0.38
3znm,3zp3,0.38
3zp0,3zp3,0.32
3zp1,3zp3,0.29
3zp2,3zp3,0.2
1eo8,3zp6,1.53
1ha0,3zp6,1.55
1hgd,3zp6,1.52
1hge,3zp6,1.52
1hgf,3zp6,1.53
1hgg,3zp6,1.53
1hgh,3zp6,1.53
1hgi,3zp6,1.52
1hgj,3zp6,1.52
1jsd,3zp6,1.23
1jsh,3zp6,1.24
1jsi,3zp6,1.24
1jsm,3zp6,0.53
1jsn,3zp6,0.57
1jso,3zp6,0.53
1ken,3zp6,1.57
1mql,3zp6,1.51
1mqm,3zp6,1.51
1mqn,3zp6,1.51
1qfu,3zp6,1.5
1rd8,3zp6,1.31
1ru7,3zp6,0.97
1rvt,3zp6,1.01
1rvx,3zp6,0.97
1rvz,3zp6,0.97
1ti8,3zp6,1.58
2fk0,3zp6,1.14
2hmg,3zp6,1.53
2ibx,3zp6,0.46
2rft,3zp6,2.8
2rfu,3zp6,2.8
2viu,3zp6,1.53
2wr0,3zp6,1.29
2wr1,3zp6,1.28
2wr2,3zp6,1.28
2wr3,3zp6,1.35
2wr4,3zp6,1.36
2wr5,3zp6,1.35
2wr7,3zp6,1.37
2wrb,3zp6,1.23
2wrc,3zp6,1.21
2wrd,3zp6,1.22
2wre,3zp6,1.44
2wrf,3zp6,1.32
2wrg,3zp6,1.34
2wrh,3zp6,1.31
2yp2,3zp6,1.54
2yp3,3zp6,1.55
2yp4,3zp6,1.54
2yp5,3zp6,1.53
2yp7,3zp6,1.54
2yp8,3zp6,1.54
2yp9,3zp6,1.53
2ypg,3zp6,1.51
3al4,3zp6,1.29
3bt6,3zp6,2.89
3eyj,3zp6,1.87
3eyk,3zp6,1.9
3eym,3zp6,1.52
3fku,3zp6,0.45
3gbm,3zp6,0.35
3gbn,3zp6,1.06
3hmg,3zp6,1.53
3hto,3zp6,1.19
3htp,3zp6,1.22
3htq,3zp6,1.19
3htt,3zp6,1.21
3ku3,3zp6,0.38
3ku5,3zp6,0.39
3ku6,3zp6,0.37
3lzf,3zp6,0.99
3lzg,3zp6,1.27
3m5g,3zp6,1.58
3m5h,3zp6,1.55
3m5i,3zp6,1.59
3m5j,3zp6,1.55
3m6s,3zp6,1.34
3mlh,3zp6,1.65
3qqb,3zp6,0.37
3qqe,3zp6,0.37
3qqi,3zp6,0.53
3qqo,3zp6,1.46
3r2x,3zp6,0.98
3s11,3zp6,0.39
3s12,3zp6,0.46
3s13,3zp6,0.39
3sdy,3zp6,1.53
3sm5,3zp6,1.14
3ube,3zp6,1.18
3ubj,3zp6,1.2
3ubn,3zp6,1.17
3ubq,3zp6,1.2
3uyw,3zp6,1.18
3uyx,3zp6,1.23
3vun,3zp6,1.55
3znk,3zp6,0.34
3znl,3zp6,0.34
3znm,3zp6,0.33
3zp0,3zp6,0.25
3zp1,3zp6,0.24
3zp2,3zp6,0.27
3zp3,3zp6,0.24
1eo8,3zpb,1.53
1ha0,3zpb,1.55
1hgd,3zpb,1.52
1hge,3zpb,1.52
1hgf,3zpb,1.52
1hgg,3zpb,1.53
1hgh,3zpb,1.53
1hgi,3zpb,1.52
1hgj,3zpb,1.52
1jsd,3zpb,1.27
1jsh,3zpb,1.27
1jsi,3zpb,1.27
1jsm,3zpb,0.57
1jsn,3zpb,0.56
1jso,3zpb,0.56
1ken,3zpb,1.57
1mql,3zpb,1.51
1mqm,3zpb,1.51
1mqn,3zpb,1.51
1qfu,3zpb,1.5
1rd8,3zpb,1.35
1ru7,3zpb,1.0
1rvt,3zpb,1.03
1rvx,3zpb,1.0
1rvz,3zpb,1.0
1ti8,3zpb,1.56
2fk0,3zpb,1.19
2hmg,3zpb,1.52
2ibx,3zpb,0.49
2rft,3zpb,2.76
2rfu,3zpb,2.82
2viu,3zpb,1.52
2wr0,3zpb,1.32
2wr1,3zpb,1.33
2wr2,3zpb,1.33
2wr3,3zpb,1.37
2wr4,3zpb,1.38
2wr5,3zpb,1.37
2wr7,3zpb,1.39
2wrb,3zpb,1.27
2wrc,3zpb,1.24
2wrd,3zpb,1.25
2wre,3zpb,1.47
2wrf,3zpb,1.34
2wrg,3zpb,1.37
2wrh,3zpb,1.34
2yp2,3zpb,1.55
2yp3,3zpb,1.55
2yp4,3zpb,1.55
2yp5,3zpb,1.54
2yp7,3zpb,1.56
2yp8,3zpb,1.56
2yp9,3zpb,1.55
2ypg,3zpb,1.51
3al4,3zpb,1.33
3bt6,3zpb,2.82
3eyj,3zpb,1.86
3eyk,3zpb,1.9
3eym,3zpb,1.52
3fku,3zpb,0.47
3gbm,3zpb,0.36
3gbn,3zpb,1.09
3hmg,3zpb,1.53
3hto,3zpb,1.22
3htp,3zpb,1.24
3htq,3zpb,1.22
3htt,3zpb,1.24
3ku3,3zpb,0.38
3ku5,3zpb,0.39
3ku6,3zpb,0.38
3lzf,3zpb,1.02
3lzg,3zpb,1.31
3m5g,3zpb,1.57
3m5h,3zpb,1.53
3m5i,3zpb,1.58
3m5j,3zpb,1.53
3m6s,3zpb,1.38
3mlh,3zpb,1.66
3qqb,3zpb,0.37
3qqe,3zpb,0.37
3qqi,3zpb,0.53
3qqo,3zpb,1.47
3r2x,3zpb,1.01
3s11,3zpb,0.41
3s12,3zpb,0.45
3s13,3zpb,0.39
3sdy,3zpb,1.53
3sm5,3zpb,1.18
3ube,3zpb,1.24
3ubj,3zpb,1.25
3ubn,3zpb,1.23
3ubq,3zpb,1.25
3uyw,3zpb,1.22
3uyx,3zpb,1.25
3vun,3zpb,1.55
3znk,3zpb,0.35
3znl,3zpb,0.35
3znm,3zpb,0.33
3zp0,3zpb,0.28
3zp1,3zpb,0.23
3zp2,3zpb,0.33
3zp3,3zpb,0.32
3zp6,3zpb,0.26
1eo8,3ztj,0.45
1ha0,3ztj,0.47
1hgd,3ztj,0.39
1hge,3ztj,0.39
1hgf,3ztj,0.4
1hgg,3ztj,0.4
1hgh,3ztj,0.4
1hgi,3ztj,0.4
1hgj,3ztj,0.4
1jsd,3ztj,1.58
1jsh,3ztj,1.59
1jsi,3ztj,1.59
1jsm,3ztj,1.49
1jsn,3ztj,1.53
1jso,3ztj,1.5
1ken,3ztj,0.52
1mql,3ztj,0.46
1mqm,3ztj,0.46
1mqn,3ztj,0.46
1qfu,3ztj,0.44
1rd8,3ztj,1.81
1ru7,3ztj,1.6
1rvt,3ztj,1.7
1rvx,3ztj,1.62
1rvz,3ztj,1.6
1ti8,3ztj,1.65
2fk0,3ztj,1.72
2hmg,3ztj,0.41
2ibx,3ztj,1.51
2rft,3ztj,2.69
2rfu,3ztj,2.68
2viu,3ztj,0.39
2wr0,3ztj,1.74
2wr1,3ztj,1.74
2wr2,3ztj,1.74
2wr3,3ztj,2.22
