p_id,p_id2,score
4cyz,3ztj,658.0
4cyz,4kwm,541.0
4cyz,4d00,1637.0
4cyz,4k66,510.0
4cyz,3uyw,241.0
4cyz,4kdq,529.0
4cyz,2ibx,560.0
4cyz,3uyx,240.0
4cyz,3ube,555.0
4cyz,2ypg,658.0
4cyz,3m5j,860.0
4cyz,4m5z,236.0
4cyz,3m5h,860.0
4cyz,3m5g,860.0
4cyz,4uoa,674.0
4cyz,3ubj,555.0
4cyz,4bsh,937.0
4cyz,3gbm,543.0
4cyz,3gbn,603.0
4cyz,4gms,642.0
4cyz,3r2x,614.0
4cyz,4fp8,430.0
4cyz,4kdo,534.0
4cyz,3zp3,550.0
4cyz,4kdm,534.0
4cyz,4unx,649.0
4cyz,4kth,537.0
4cyz,3al4,554.0
3fku,3mlh,474.0
3fku,4cyv,543.0
3fku,4cyw,543.0
3fku,3htq,1040.0
3fku,3htp,1040.0
3fku,2fk0,1731.0
3fku,4m4y,1014.0
3fku,4kvn,545.0
3fku,3hmg,579.0
3fku,4mhi,1663.0
3fku,3hto,1040.0
3fku,4mhj,1663.0
3fku,4fqy,570.0
3fku,2wrg,1028.0
3fku,2viu,570.0
3fku,4fqr,570.0
3fku,4hlz,1234.0
3fku,4fnk,570.0
3fku,4fqi,1731.0
3fku,4juh,1047.0
3fku,2wrc,1182.0
3fku,3znk,1716.0
3fku,5hmg,572.0
3fku,3znm,1716.0
3fku,3znl,1716.0
3fku,2wrb,1182.0
3fku,4ln8,540.0
3fku,4hg4,1215.0
3fku,4ln6,540.0
3fku,4lxv,1017.0
3fku,4eda,984.0
3fku,4ln3,553.0
3fku,4kw1,1624.0
3fku,4wa1,562.0
3fku,4wa2,562.0
3fku,3s11,1648.0
3fku,3s13,1397.0
3fku,3s12,1673.0
3fku,4hf5,1234.0
3fku,1jsm,1588.0
3fku,1jsn,1588.0
3fku,1jso,1588.0
3fku,1jsh,736.0
3fku,1jsi,736.0
3fku,1jsd,736.0
3fku,3ubq,988.0
3fku,3zpb,1719.0
3fku,4uo2,572.0
3fku,4jtv,987.0
3fku,3sm5,985.0
3fku,3sdy,570.0
3fku,3qqe,1234.0
3fku,4h32,771.0
3fku,3qqb,1234.0
3fku,4jtx,1015.0
3fku,1rvz,1024.0
3fku,1rvx,1024.0
3fku,4kps,809.0
3fku,1mql,575.0
3fku,4kpq,809.0
3fku,4edb,975.0
3fku,3lzg,1005.0
3fku,3lzf,1040.0
3fku,1rvt,1052.0
3fku,4bh2,1700.0
3fku,3eym,572.0
3fku,4hfu,1215.0
3fku,4bgw,1716.0
3fku,4gxx,1059.0
3fku,4bgz,1628.0
3fku,4bgy,1716.0
3fku,4bgx,1716.0
3fku,4f15,499.0
3fku,4bh3,1700.0
3fku,1qfu,572.0
3fku,3zp6,1719.0
3fku,1mqm,575.0
3fku,3zp2,1718.0
3fku,3zp1,1722.0
3fku,3zp0,1722.0
3fku,4uo8,573.0
3fku,3m5i,502.0
3fku,4uo9,573.0
3fku,4bh0,1628.0
3fku,4n64,540.0
3fku,2wrf,1202.0
3fku,2wre,1189.0
3fku,2wrd,1188.0
3fku,4n60,540.0
3fku,4n61,540.0
3fku,4n62,540.0
3fku,4n63,540.0
3fku,4cr0,1702.0
3fku,1eo8,572.0
3fku,2wrh,1024.0
3fku,4cz0,543.0
3fku,2yp5,544.0
3fku,4ln4,553.0
3fku,4ju0,1004.0
3fku,1ti8,545.0
3fku,1rd8,1056.0
3fku,3vun,573.0
3fku,2yp4,544.0
3fku,1ru7,1024.0
3fku,4dj6,562.0
3fku,4dj7,562.0
3fku,4bsi,554.0
3fku,3m6s,1015.0
3fku,4o58,578.0
3fku,4bsf,540.0
3fku,4dj8,562.0
3fku,4bsd,540.0
3fku,4bsc,540.0
3fku,4bsb,540.0
3fku,4bsa,540.0
3fku,2wr7,1182.0
3fku,2wr5,1241.0
3fku,2wr4,1241.0
3fku,4i78,758.0
3fku,2wr2,1249.0
3fku,2wr1,1249.0
3fku,2wr0,1249.0
3fku,4k65,1635.0
3fku,4k64,1659.0
3fku,4k67,1635.0
3fku,4py8,1049.0
3fku,4nm8,570.0
3fku,4k63,1659.0
3fku,4k62,1659.0
3fku,4bsg,554.0
3fku,1mqn,575.0
3fku,3ku5,1221.0
3fku,3ku6,1227.0
3fku,4bse,540.0
3fku,3ku3,1234.0
3fku,4lkj,538.0
3fku,2hmg,572.0
3fku,4jug,1047.0
3fku,4fqv,552.0
3fku,4o5i,544.0
3fku,4juk,1618.0
3fku,4juj,1047.0
3fku,4jum,1622.0
3fku,4jul,1625.0
3fku,4o5n,544.0
3fku,4jun,1642.0
3fku,1ken,572.0
3fku,4kdn,1698.0
3fku,4gxu,1049.0
3fku,2yp3,544.0
3fku,2yp2,544.0
3fku,4uny,563.0
3fku,4bh1,1628.0
3fku,2yp7,542.0
3fku,4n5k,540.0
3fku,4n5j,540.0
3fku,4uo0,572.0
3fku,4uo1,572.0
3fku,2yp9,542.0
3fku,4uo3,572.0
3fku,4uo4,573.0
3fku,4uo5,573.0
3fku,4uo6,573.0
3fku,4uo7,573.0
3fku,4lkg,544.0
3fku,4n5y,1713.0
3fku,4n5z,1707.0
3fku,4lki,538.0
3fku,4lkh,544.0
3fku,4lkk,538.0
3fku,3htt,1040.0
3fku,1hgf,572.0
3fku,1hgg,572.0
3fku,1hgd,572.0
3fku,1hge,572.0
3fku,4fiu,809.0
3fku,4lcx,544.0
3fku,3ubn,988.0
3fku,1hgj,572.0
3fku,4bh4,1700.0
3fku,1hgh,572.0
3fku,1hgi,572.0
3fku,4unz,563.0
3fku,3eyk,588.0
3fku,4kon,531.0
3fku,3eyj,588.0
3fku,2yp8,542.0
3fku,3ztj,572.0
3fku,4kwm,1658.0
3fku,4d00,556.0
3fku,4k66,1635.0
3fku,3uyw,481.0
3fku,4kdq,1660.0
3fku,2ibx,1716.0
3fku,3uyx,484.0
3fku,3ube,988.0
3fku,2ypg,572.0
3fku,3m5j,502.0
3fku,4m5z,485.0
3fku,3m5h,502.0
3fku,3m5g,502.0
3fku,4uoa,576.0
3fku,3ubj,988.0
3fku,4bsh,554.0
3fku,3gbm,1731.0
3fku,3gbn,1049.0
3fku,4gms,578.0
3fku,3r2x,1040.0
3fku,4fp8,403.0
3fku,4kdo,1698.0
3fku,3zp3,1718.0
3fku,4kdm,1698.0
3fku,4unx,563.0
3fku,4kth,1635.0
3fku,3al4,987.0
3mlh,4cyv,234.0
3mlh,4cyw,234.0
3mlh,3htq,790.0
3mlh,3htp,790.0
3mlh,2fk0,475.0
3mlh,4m4y,1002.0
3mlh,4kvn,200.0
3mlh,3hmg,221.0
3mlh,4mhi,499.0
3mlh,3hto,790.0
3mlh,4mhj,499.0
3mlh,4fqy,213.0
3mlh,2wrg,842.0
3mlh,2viu,212.0
3mlh,4fqr,213.0
3mlh,4hlz,457.0
3mlh,4fnk,213.0
3mlh,4fqi,475.0
3mlh,4juh,837.0
3mlh,2wrc,445.0
3mlh,3znk,475.0
3mlh,5hmg,214.0
3mlh,3znm,475.0
3mlh,3znl,475.0
3mlh,2wrb,445.0
3mlh,4ln8,195.0
3mlh,4hg4,445.0
3mlh,4ln6,195.0
3mlh,4lxv,997.0
3mlh,4eda,1013.0
3mlh,4ln3,193.0
3mlh,4kw1,439.0
3mlh,4wa1,230.0
3mlh,4wa2,230.0
3mlh,3s11,495.0
3mlh,3s13,531.0
3mlh,3s12,487.0
3mlh,4hf5,457.0
3mlh,1jsm,491.0
3mlh,1jsn,491.0
3mlh,1jso,491.0
3mlh,1jsh,314.0
3mlh,1jsi,314.0
3mlh,1jsd,314.0
3mlh,3ubq,986.0
3mlh,3zpb,479.0
3mlh,4uo2,236.0
3mlh,4jtv,1004.0
3mlh,3sm5,681.0
3mlh,3sdy,213.0
3mlh,3qqe,457.0
3mlh,4h32,248.0
3mlh,3qqb,457.0
3mlh,4jtx,998.0
3mlh,1rvz,730.0
3mlh,1rvx,730.0
3mlh,4kps,390.0
3mlh,1mql,223.0
3mlh,4kpq,390.0
3mlh,4edb,680.0
3mlh,3lzg,1003.0
3mlh,3lzf,844.0
3mlh,1rvt,863.0
3mlh,4bh2,468.0
3mlh,3eym,214.0
3mlh,4hfu,445.0
3mlh,4bgw,475.0
3mlh,4gxx,832.0
3mlh,4bgz,468.0
3mlh,4bgy,475.0
3mlh,4bgx,475.0
3mlh,4f15,1112.0
3mlh,4bh3,468.0
3mlh,1qfu,214.0
3mlh,3zp6,479.0
3mlh,1mqm,223.0
3mlh,3zp2,471.0
3mlh,3zp1,475.0
3mlh,3zp0,475.0
3mlh,4uo8,233.0
3mlh,3m5i,157.0
3mlh,4uo9,233.0
3mlh,4bh0,468.0
3mlh,4n64,195.0
3mlh,2wrf,453.0
3mlh,2wre,448.0
3mlh,2wrd,448.0
3mlh,4n60,195.0
3mlh,4n61,195.0
3mlh,4n62,195.0
3mlh,4n63,195.0
3mlh,4cr0,466.0
3mlh,1eo8,214.0
3mlh,2wrh,780.0
3mlh,4cz0,234.0
3mlh,2yp5,209.0
3mlh,4ln4,193.0
3mlh,4ju0,999.0
3mlh,1ti8,202.0
3mlh,1rd8,843.0
3mlh,3vun,214.0
3mlh,2yp4,209.0
3mlh,1ru7,730.0
3mlh,4dj6,199.0
3mlh,4dj7,199.0
3mlh,4bsi,199.0
3mlh,3m6s,1005.0
3mlh,4o58,206.0
3mlh,4bsf,195.0
3mlh,4dj8,199.0
3mlh,4bsd,195.0
3mlh,4bsc,195.0
3mlh,4bsb,195.0
3mlh,4bsa,195.0
3mlh,2wr7,445.0
3mlh,2wr5,468.0
3mlh,2wr4,468.0
3mlh,4i78,249.0
3mlh,2wr2,462.0
3mlh,2wr1,462.0
3mlh,2wr0,462.0
3mlh,4k65,461.0
3mlh,4k64,476.0
3mlh,4k67,461.0
3mlh,4py8,843.0
3mlh,4nm8,213.0
3mlh,4k63,476.0
3mlh,4k62,476.0
3mlh,4bsg,199.0
3mlh,1mqn,223.0
3mlh,3ku5,444.0
3mlh,3ku6,450.0
3mlh,4bse,195.0
3mlh,3ku3,457.0
3mlh,4lkj,205.0
3mlh,2hmg,214.0
3mlh,4jug,837.0
3mlh,4fqv,199.0
3mlh,4o5i,195.0
3mlh,4juk,476.0
3mlh,4juj,837.0
3mlh,4jum,490.0
3mlh,4jul,467.0
3mlh,4o5n,195.0
3mlh,4jun,480.0
3mlh,1ken,214.0
3mlh,4kdn,469.0
3mlh,4gxu,843.0
3mlh,2yp3,209.0
3mlh,2yp2,209.0
3mlh,4uny,235.0
3mlh,4bh1,468.0
3mlh,2yp7,198.0
3mlh,4n5k,195.0
3mlh,4n5j,195.0
3mlh,4uo0,236.0
3mlh,4uo1,236.0
3mlh,2yp9,198.0
3mlh,4uo3,236.0
3mlh,4uo4,233.0
3mlh,4uo5,233.0
3mlh,4uo6,233.0
3mlh,4uo7,233.0
3mlh,4lkg,193.0
3mlh,4n5y,469.0
3mlh,4n5z,469.0
3mlh,4lki,205.0
3mlh,4lkh,193.0
3mlh,4lkk,205.0
3mlh,3htt,790.0
3mlh,1hgf,214.0
3mlh,1hgg,214.0
3mlh,1hgd,213.0
3mlh,1hge,213.0
3mlh,4fiu,368.0
3mlh,4lcx,193.0
3mlh,3ubn,986.0
3mlh,1hgj,214.0
3mlh,4bh4,468.0
3mlh,1hgh,214.0
3mlh,1hgi,214.0
3mlh,4unz,235.0
3mlh,3eyk,204.0
3mlh,4kon,198.0
3mlh,3eyj,204.0
3mlh,2yp8,198.0
3mlh,3ztj,214.0
3mlh,4kwm,471.0
3mlh,4d00,228.0
3mlh,4k66,461.0
3mlh,3uyw,1121.0
3mlh,4kdq,465.0
3mlh,2ibx,475.0
3mlh,3uyx,1126.0
3mlh,3ube,986.0
3mlh,2ypg,214.0
3mlh,3m5j,157.0
3mlh,4m5z,1114.0
3mlh,3m5h,157.0
3mlh,3m5g,157.0
3mlh,4uoa,233.0
3mlh,3ubj,986.0
3mlh,4bsh,199.0
3mlh,3gbm,475.0
3mlh,3gbn,843.0
3mlh,4gms,206.0
3mlh,3r2x,844.0
3mlh,4fp8,254.0
3mlh,4kdo,469.0
3mlh,3zp3,471.0
3mlh,4kdm,469.0
3mlh,4unx,235.0
3mlh,4kth,466.0
3mlh,3al4,1004.0
4cyv,4cyw,1695.0
4cyv,3htq,614.0
4cyv,3htp,614.0
4cyv,2fk0,543.0
4cyv,4m4y,561.0
4cyv,4kvn,590.0
4cyv,3hmg,665.0
4cyv,4mhi,558.0
4cyv,3hto,614.0
4cyv,4mhj,558.0
4cyv,4fqy,657.0
4cyv,2wrg,602.0
4cyv,2viu,659.0
4cyv,4fqr,657.0
4cyv,4hlz,561.0
4cyv,4fnk,657.0
4cyv,4fqi,543.0
4cyv,4juh,621.0
4cyv,2wrc,524.0
4cyv,3znk,560.0
4cyv,5hmg,658.0
4cyv,3znm,560.0
4cyv,3znl,560.0
4cyv,2wrb,524.0
4cyv,4ln8,927.0
4cyv,4hg4,539.0
4cyv,4ln6,927.0
4cyv,4lxv,560.0
4cyv,4eda,556.0
4cyv,4ln3,910.0
4cyv,4kw1,540.0
4cyv,4wa1,658.0
4cyv,4wa2,658.0
4cyv,3s11,544.0
4cyv,3s13,393.0
4cyv,3s12,524.0
4cyv,4hf5,561.0
4cyv,1jsm,577.0
4cyv,1jsn,577.0
4cyv,1jso,577.0
4cyv,1jsh,502.0
4cyv,1jsi,502.0
4cyv,1jsd,502.0
4cyv,3ubq,555.0
4cyv,3zpb,551.0
4cyv,4uo2,666.0
4cyv,4jtv,554.0
4cyv,3sm5,576.0
4cyv,3sdy,657.0
4cyv,3qqe,561.0
4cyv,4h32,395.0
4cyv,3qqb,561.0
4cyv,4jtx,560.0
4cyv,1rvz,575.0
4cyv,1rvx,575.0
4cyv,4kps,460.0
4cyv,1mql,665.0
4cyv,4kpq,460.0
4cyv,4edb,589.0
4cyv,3lzg,572.0
4cyv,3lzf,614.0
4cyv,1rvt,626.0
4cyv,4bh2,522.0
4cyv,3eym,658.0
4cyv,4hfu,539.0
4cyv,4bgw,560.0
4cyv,4gxx,613.0
4cyv,4bgz,543.0
4cyv,4bgy,560.0
4cyv,4bgx,560.0
4cyv,4f15,249.0
4cyv,4bh3,522.0
4cyv,1qfu,658.0
4cyv,3zp6,551.0
4cyv,1mqm,665.0
4cyv,3zp2,550.0
4cyv,3zp1,554.0
4cyv,3zp0,554.0
4cyv,4uo8,674.0
4cyv,3m5i,860.0
4cyv,4uo9,678.0
4cyv,4bh0,543.0
4cyv,4n64,927.0
4cyv,2wrf,538.0
4cyv,2wre,533.0
4cyv,2wrd,534.0
4cyv,4n60,927.0
4cyv,4n61,927.0
4cyv,4n62,927.0
4cyv,4n63,927.0
4cyv,4cr0,551.0
4cyv,1eo8,658.0
4cyv,2wrh,623.0
4cyv,4cz0,1695.0
4cyv,2yp5,598.0
4cyv,4ln4,910.0
4cyv,4ju0,571.0
4cyv,1ti8,914.0
4cyv,1rd8,603.0
4cyv,3vun,651.0
4cyv,2yp4,598.0
4cyv,1ru7,575.0
4cyv,4dj6,941.0
4cyv,4dj7,941.0
4cyv,4bsi,937.0
4cyv,3m6s,560.0
4cyv,4o58,642.0
4cyv,4bsf,927.0
4cyv,4dj8,941.0
4cyv,4bsd,929.0
4cyv,4bsc,929.0
4cyv,4bsb,929.0
4cyv,4bsa,929.0
4cyv,2wr7,524.0
4cyv,2wr5,558.0
4cyv,2wr4,558.0
4cyv,4i78,406.0
4cyv,2wr2,574.0
4cyv,2wr1,574.0
4cyv,2wr0,574.0
4cyv,4k65,510.0
4cyv,4k64,524.0
4cyv,4k67,510.0
4cyv,4py8,603.0
4cyv,4nm8,657.0
4cyv,4k63,524.0
4cyv,4k62,524.0
4cyv,4bsg,937.0
4cyv,1mqn,665.0
4cyv,3ku5,548.0
4cyv,3ku6,554.0
4cyv,4bse,927.0
4cyv,3ku3,561.0
4cyv,4lkj,911.0
4cyv,2hmg,658.0
4cyv,4jug,621.0
4cyv,4fqv,931.0
4cyv,4o5i,599.0
4cyv,4juk,545.0
4cyv,4juj,621.0
4cyv,4jum,516.0
4cyv,4jul,519.0
4cyv,4o5n,599.0
4cyv,4jun,516.0
4cyv,1ken,658.0
4cyv,4kdn,534.0
4cyv,4gxu,603.0
4cyv,2yp3,598.0
4cyv,2yp2,598.0
4cyv,4uny,649.0
4cyv,4bh1,543.0
4cyv,2yp7,596.0
4cyv,4n5k,927.0
4cyv,4n5j,927.0
4cyv,4uo0,666.0
4cyv,4uo1,666.0
4cyv,2yp9,596.0
4cyv,4uo3,670.0
4cyv,4uo4,674.0
4cyv,4uo5,674.0
4cyv,4uo6,674.0
4cyv,4uo7,674.0
4cyv,4lkg,921.0
4cyv,4n5y,529.0
4cyv,4n5z,523.0
4cyv,4lki,911.0
4cyv,4lkh,921.0
4cyv,4lkk,911.0
4cyv,3htt,614.0
4cyv,1hgf,658.0
4cyv,1hgg,658.0
4cyv,1hgd,659.0
4cyv,1hge,659.0
4cyv,4fiu,435.0
4cyv,4lcx,921.0
4cyv,3ubn,555.0
4cyv,1hgj,658.0
4cyv,4bh4,522.0
4cyv,1hgh,658.0
4cyv,1hgi,658.0
4cyv,4unz,649.0
4cyv,3eyk,637.0
4cyv,4kon,904.0
4cyv,3eyj,637.0
4cyv,2yp8,596.0
4cyv,3ztj,658.0
4cyv,4kwm,541.0
4cyv,4d00,1637.0
4cyv,4k66,510.0
4cyv,3uyw,241.0
4cyv,4kdq,529.0
4cyv,2ibx,560.0
4cyv,3uyx,240.0
4cyv,3ube,555.0
4cyv,2ypg,658.0
4cyv,3m5j,860.0
4cyv,4m5z,236.0
4cyv,3m5h,860.0
4cyv,3m5g,860.0
4cyv,4uoa,674.0
4cyv,3ubj,555.0
4cyv,4bsh,937.0
4cyv,3gbm,543.0
4cyv,3gbn,603.0
4cyv,4gms,642.0
4cyv,3r2x,614.0
4cyv,4fp8,430.0
4cyv,4kdo,534.0
4cyv,3zp3,550.0
4cyv,4kdm,534.0
4cyv,4unx,649.0
4cyv,4kth,537.0
4cyv,3al4,554.0
4cyw,3htq,614.0
4cyw,3htp,614.0
4cyw,2fk0,543.0
4cyw,4m4y,561.0
4cyw,4kvn,590.0
4cyw,3hmg,665.0
4cyw,4mhi,558.0
4cyw,3hto,614.0
4cyw,4mhj,558.0
4cyw,4fqy,657.0
4cyw,2wrg,602.0
4cyw,2viu,659.0
4cyw,4fqr,657.0
4cyw,4hlz,561.0
4cyw,4fnk,657.0
4cyw,4fqi,543.0
4cyw,4juh,621.0
4cyw,2wrc,524.0
4cyw,3znk,560.0
4cyw,5hmg,658.0
4cyw,3znm,560.0
4cyw,3znl,560.0
4cyw,2wrb,524.0
4cyw,4ln8,927.0
4cyw,4hg4,539.0
4cyw,4ln6,927.0
4cyw,4lxv,560.0
4cyw,4eda,556.0
4cyw,4ln3,910.0
4cyw,4kw1,540.0
4cyw,4wa1,658.0
4cyw,4wa2,658.0
4cyw,3s11,544.0
4cyw,3s13,393.0
4cyw,3s12,524.0
4cyw,4hf5,561.0
4cyw,1jsm,577.0
4cyw,1jsn,577.0
4cyw,1jso,577.0
4cyw,1jsh,502.0
4cyw,1jsi,502.0
4cyw,1jsd,502.0
4cyw,3ubq,555.0
4cyw,3zpb,551.0
4cyw,4uo2,666.0
4cyw,4jtv,554.0
4cyw,3sm5,576.0
4cyw,3sdy,657.0
4cyw,3qqe,561.0
4cyw,4h32,395.0
4cyw,3qqb,561.0
4cyw,4jtx,560.0
4cyw,1rvz,575.0
4cyw,1rvx,575.0
4cyw,4kps,460.0
4cyw,1mql,665.0
4cyw,4kpq,460.0
4cyw,4edb,589.0
4cyw,3lzg,572.0
4cyw,3lzf,614.0
4cyw,1rvt,626.0
4cyw,4bh2,522.0
4cyw,3eym,658.0
4cyw,4hfu,539.0
4cyw,4bgw,560.0
4cyw,4gxx,613.0
4cyw,4bgz,543.0
4cyw,4bgy,560.0
4cyw,4bgx,560.0
4cyw,4f15,249.0
4cyw,4bh3,522.0
4cyw,1qfu,658.0
4cyw,3zp6,551.0
4cyw,1mqm,665.0
4cyw,3zp2,550.0
4cyw,3zp1,554.0
4cyw,3zp0,554.0
4cyw,4uo8,674.0
4cyw,3m5i,860.0
4cyw,4uo9,678.0
4cyw,4bh0,543.0
4cyw,4n64,927.0
4cyw,2wrf,538.0
4cyw,2wre,533.0
4cyw,2wrd,534.0
4cyw,4n60,927.0
4cyw,4n61,927.0
4cyw,4n62,927.0
4cyw,4n63,927.0
4cyw,4cr0,551.0
4cyw,1eo8,658.0
4cyw,2wrh,623.0
4cyw,4cz0,1695.0
4cyw,2yp5,598.0
4cyw,4ln4,910.0
4cyw,4ju0,571.0
4cyw,1ti8,914.0
4cyw,1rd8,603.0
4cyw,3vun,651.0
4cyw,2yp4,598.0
4cyw,1ru7,575.0
4cyw,4dj6,941.0
4cyw,4dj7,941.0
4cyw,4bsi,937.0
4cyw,3m6s,560.0
4cyw,4o58,642.0
4cyw,4bsf,927.0
4cyw,4dj8,941.0
4cyw,4bsd,929.0
4cyw,4bsc,929.0
4cyw,4bsb,929.0
4cyw,4bsa,929.0
4cyw,2wr7,524.0
4cyw,2wr5,558.0
4cyw,2wr4,558.0
4cyw,4i78,406.0
4cyw,2wr2,574.0
4cyw,2wr1,574.0
4cyw,2wr0,574.0
4cyw,4k65,510.0
4cyw,4k64,524.0
4cyw,4k67,510.0
4cyw,4py8,603.0
4cyw,4nm8,657.0
4cyw,4k63,524.0
4cyw,4k62,524.0
4cyw,4bsg,937.0
4cyw,1mqn,665.0
4cyw,3ku5,548.0
4cyw,3ku6,554.0
4cyw,4bse,927.0
4cyw,3ku3,561.0
4cyw,4lkj,911.0
4cyw,2hmg,658.0
4cyw,4jug,621.0
4cyw,4fqv,931.0
4cyw,4o5i,599.0
4cyw,4juk,545.0
4cyw,4juj,621.0
4cyw,4jum,516.0
4cyw,4jul,519.0
4cyw,4o5n,599.0
4cyw,4jun,516.0
4cyw,1ken,658.0
4cyw,4kdn,534.0
4cyw,4gxu,603.0
4cyw,2yp3,598.0
4cyw,2yp2,598.0
4cyw,4uny,649.0
4cyw,4bh1,543.0
4cyw,2yp7,596.0
4cyw,4n5k,927.0
4cyw,4n5j,927.0
4cyw,4uo0,666.0
4cyw,4uo1,666.0
4cyw,2yp9,596.0
4cyw,4uo3,670.0
4cyw,4uo4,674.0
4cyw,4uo5,674.0
4cyw,4uo6,674.0
4cyw,4uo7,674.0
4cyw,4lkg,921.0
4cyw,4n5y,529.0
4cyw,4n5z,523.0
4cyw,4lki,911.0
4cyw,4lkh,921.0
4cyw,4lkk,911.0
4cyw,3htt,614.0
4cyw,1hgf,658.0
4cyw,1hgg,658.0
4cyw,1hgd,659.0
4cyw,1hge,659.0
4cyw,4fiu,435.0
4cyw,4lcx,921.0
4cyw,3ubn,555.0
4cyw,1hgj,658.0
4cyw,4bh4,522.0
4cyw,1hgh,658.0
4cyw,1hgi,658.0
4cyw,4unz,649.0
4cyw,3eyk,637.0
4cyw,4kon,904.0
4cyw,3eyj,637.0
4cyw,2yp8,596.0
4cyw,3ztj,658.0
4cyw,4kwm,541.0
4cyw,4d00,1637.0
4cyw,4k66,510.0
4cyw,3uyw,241.0
4cyw,4kdq,529.0
4cyw,2ibx,560.0
4cyw,3uyx,240.0
4cyw,3ube,555.0
4cyw,2ypg,658.0
4cyw,3m5j,860.0
4cyw,4m5z,236.0
4cyw,3m5h,860.0
4cyw,3m5g,860.0
4cyw,4uoa,674.0
4cyw,3ubj,555.0
4cyw,4bsh,937.0
4cyw,3gbm,543.0
4cyw,3gbn,603.0
4cyw,4gms,642.0
4cyw,3r2x,614.0
4cyw,4fp8,430.0
4cyw,4kdo,534.0
4cyw,3zp3,550.0
4cyw,4kdm,534.0
4cyw,4unx,649.0
4cyw,4kth,537.0
4cyw,3al4,554.0
3htq,3htp,1742.0
3htq,2fk0,1040.0
3htq,4m4y,1414.0
3htq,4kvn,541.0
3htq,3hmg,581.0
3htq,4mhi,1060.0
3htq,3hto,1742.0
3htq,4mhj,1060.0
3htq,4fqy,575.0
3htq,2wrg,1615.0
3htq,2viu,568.0
3htq,4fqr,575.0
3htq,4hlz,1112.0
3htq,4fnk,575.0
3htq,4fqi,1040.0
3htq,4juh,1634.0
3htq,2wrc,1075.0
3htq,3znk,1051.0
3htq,5hmg,574.0
3htq,3znm,1051.0
3htq,3znl,1051.0
3htq,2wrb,1075.0
3htq,4ln8,542.0
3htq,4hg4,1097.0
3htq,4ln6,542.0
3htq,4lxv,1415.0
3htq,4eda,1415.0
3htq,4ln3,522.0
3htq,4kw1,1033.0
3htq,4wa1,584.0
3htq,4wa2,584.0
3htq,3s11,1032.0
3htq,3s13,823.0
3htq,3s12,1032.0
3htq,4hf5,1112.0
3htq,1jsm,1060.0
3htq,1jsn,1060.0
3htq,1jso,1060.0
3htq,1jsh,804.0
3htq,1jsi,804.0
3htq,1jsd,804.0
3htq,3ubq,1408.0
3htq,3zpb,1048.0
3htq,4uo2,587.0
3htq,4jtv,1407.0
3htq,3sm5,1340.0
3htq,3sdy,575.0
3htq,3qqe,1112.0
3htq,4h32,747.0
3htq,3qqb,1112.0
3htq,4jtx,1413.0
3htq,1rvz,1422.0
3htq,1rvx,1422.0
3htq,4kps,776.0
3htq,1mql,588.0
3htq,4kpq,776.0
3htq,4edb,1347.0
3htq,3lzg,1425.0
3htq,3lzf,1627.0
3htq,1rvt,1599.0
3htq,4bh2,1027.0
3htq,3eym,574.0
3htq,4hfu,1097.0
3htq,4bgw,1051.0
3htq,4gxx,1626.0
3htq,4bgz,1023.0
3htq,4bgy,1051.0
3htq,4bgx,1051.0
3htq,4f15,828.0
3htq,4bh3,1027.0
3htq,1qfu,574.0
3htq,3zp6,1048.0
3htq,1mqm,588.0
3htq,3zp2,1047.0
3htq,3zp1,1051.0
3htq,3zp0,1051.0
3htq,4uo8,589.0
3htq,3m5i,508.0
3htq,4uo9,590.0
3htq,4bh0,1023.0
3htq,4n64,542.0
3htq,2wrf,1096.0
3htq,2wre,1090.0
3htq,2wrd,1090.0
3htq,4n60,542.0
3htq,4n61,542.0
3htq,4n62,542.0
3htq,4n63,542.0
3htq,4cr0,1044.0
3htq,1eo8,574.0
3htq,2wrh,1654.0
3htq,4cz0,614.0
3htq,2yp5,539.0
3htq,4ln4,522.0
3htq,4ju0,1424.0
3htq,1ti8,538.0
3htq,1rd8,1616.0
3htq,3vun,576.0
3htq,2yp4,539.0
3htq,1ru7,1422.0
3htq,4dj6,550.0
3htq,4dj7,550.0
3htq,4bsi,555.0
3htq,3m6s,1422.0
3htq,4o58,557.0
3htq,4bsf,542.0
3htq,4dj8,550.0
3htq,4bsd,542.0
3htq,4bsc,542.0
3htq,4bsb,542.0
3htq,4bsa,542.0
3htq,2wr7,1075.0
3htq,2wr5,1082.0
3htq,2wr4,1082.0
3htq,4i78,758.0
3htq,2wr2,1094.0
3htq,2wr1,1094.0
3htq,2wr0,1094.0
3htq,4k65,1014.0
3htq,4k64,1029.0
3htq,4k67,1014.0
3htq,4py8,1616.0
3htq,4nm8,575.0
3htq,4k63,1029.0
3htq,4k62,1029.0
3htq,4bsg,555.0
3htq,1mqn,588.0
3htq,3ku5,1099.0
3htq,3ku6,1105.0
3htq,4bse,542.0
3htq,3ku3,1112.0
3htq,4lkj,532.0
3htq,2hmg,574.0
3htq,4jug,1634.0
3htq,4fqv,540.0
3htq,4o5i,538.0
3htq,4juk,1037.0
3htq,4juj,1634.0
3htq,4jum,1030.0
3htq,4jul,1015.0
3htq,4o5n,538.0
3htq,4jun,1018.0
3htq,1ken,574.0
3htq,4kdn,1039.0
3htq,4gxu,1616.0
3htq,2yp3,539.0
3htq,2yp2,539.0
3htq,4uny,575.0
